,date,price
1450,2020-07-21,127.54198717948718
1451,2020-07-22,133.56086206896552
1452,2020-07-23,133.08284789644011
1453,2020-07-24,130.23408695652174
1454,2020-07-25,130.26187050359712
1455,2020-07-26,126.7244094488189
1456,2020-07-27,126.8552734375
1457,2020-07-28,126.57914691943128
1458,2020-07-29,126.67746478873241
1459,2020-07-30,124.99563182527301
1460,2020-07-31,123.2764587525151
1461,2020-08-01,121.30179372197308
1462,2020-08-02,121.51222222222222
1463,2020-08-03,122.74674115456239
1464,2020-08-04,122.03735144312394
1465,2020-08-05,119.62756680731364
1466,2020-08-06,116.74769001490313
1467,2020-08-07,115.26345646437994
1468,2020-08-08,114.25981481481482
1469,2020-08-09,112.06983240223464
1470,2020-08-10,113.42898734177216
1471,2020-08-11,111.56631299734748
1472,2020-08-12,113.68738621586476
1473,2020-08-13,111.01643286573147
1474,2020-08-14,111.60771028037382
1475,2020-08-15,109.37463235294118
1476,2020-08-16,109.17812500000001
1477,2020-08-17,110.9123076923077
1478,2020-08-18,111.35231388329981
1479,2020-08-19,110.65089058524174
1480,2020-08-20,116.46048387096775
1481,2020-08-21,119.95275590551181
1482,2020-08-22,122.39433962264152
1483,2020-08-23,124.76806722689076
1484,2020-08-24,120.28614718614719
1485,2020-08-25,128.76283185840708
1486,2020-08-26,133.3042904290429
1487,2020-08-27,131.21336206896552
1488,2020-08-28,131.90392156862745
1489,2020-08-29,131.71370716510904
1490,2020-08-30,129.8985
1491,2020-08-31,136.9903284671533
1492,2020-09-01,136.66803921568626
1493,2020-09-02,136.55577464788732
1494,2020-09-03,134.75070588235295
1495,2020-09-04,132.64567164179104
1496,2020-09-05,131.75909090909093
1497,2020-09-06,129.01329639889198
1498,2020-09-07,128.73383233532934
1499,2020-09-08,126.7753937007874
1500,2020-09-09,125.06194415718718
1501,2020-09-10,122.7845785440613
1502,2020-09-11,119.94428294573643
1503,2020-09-12,115.87069672131148
1504,2020-09-13,117.29883268482492
1505,2020-09-14,118.15157894736842
1506,2020-09-15,117.9940609951846
1507,2020-09-16,116.82689832689833
1508,2020-09-17,113.56827067669174
1509,2020-09-18,113.3608695652174
1510,2020-09-19,113.6545945945946
1511,2020-09-20,111.6978082191781
1512,2020-09-21,112.18780096308186
1513,2020-09-22,112.02098214285715
1514,2020-09-23,111.12270450751252
1515,2020-09-24,110.9785854616896
1516,2020-09-25,113.62574468085107
1517,2020-09-26,113.25700483091788
1518,2020-09-27,112.31224489795919
1519,2020-09-28,112.85344827586206
1520,2020-09-29,115.45781990521328
1521,2020-09-30,116.911
1522,2020-10-01,118.02490706319703
1523,2020-10-02,120.75291005291005
1524,2020-10-03,120.97364016736402
1525,2020-10-04,122.46464646464646
1526,2020-10-05,125.14309764309765
1527,2020-10-06,128.94565217391303
1528,2020-10-07,129.115935334873
1529,2020-10-08,128.5660642570281
1530,2020-10-09,131.2959100204499
1531,2020-10-10,132.39927710843375
1532,2020-10-11,127.78141592920355
1533,2020-10-12,130.23493530499076
1534,2020-10-13,128.14059040590405
1535,2020-10-14,129.47903645833335
1536,2020-10-15,127.6828947368421
1537,2020-10-16,126.56985915492959
1538,2020-10-17,126.31823529411766
1539,2020-10-18,121.88076923076923
1540,2020-10-19,124.86232091690546
1541,2020-10-20,125.64861751152074
1542,2020-10-21,123.12143505903725
1543,2020-10-22,121.34511352418559
1544,2020-10-23,117.74507897934386
1545,2020-10-24,114.8
1546,2020-10-25,114.01815476190475
1547,2020-10-26,116.55477326968975
1548,2020-10-27,114.73470411233701
1549,2020-10-28,114.96950517836594
1550,2020-10-29,111.86355140186916
1551,2020-10-30,109.8560875512996
1552,2020-10-31,111.09938461538462
1553,2020-11-01,111.27583892617452
1554,2020-11-02,117.14147095396743
1555,2020-11-03,116.71428571428571
1556,2020-11-04,116.71830601092897
1557,2020-11-05,118.58346666666668
1558,2020-11-06,117.66360946745563
1559,2020-11-07,117.62748815165878
1560,2020-11-08,119.36613756613757
1561,2020-11-09,119.76
1562,2020-11-10,120.5035040431267
1563,2020-11-11,122.36558603491271
1564,2020-11-12,121.21466346153846
1565,2020-11-13,123.09769874476989
1566,2020-11-14,120.07625418060202
1567,2020-11-15,122.5239024390244
1568,2020-11-16,127.26113281250001
1569,2020-11-17,130.33759124087592
1570,2020-11-18,135.20518518518517
1571,2020-11-19,134.52668593448942
1572,2020-11-20,131.73287858117325
1573,2020-11-21,130.02540106951872
1574,2020-11-22,127.51021611001966
1575,2020-11-23,126.44198113207548
1576,2020-11-24,127.96323751891073
1577,2020-11-25,123.97737447065941
1578,2020-11-26,119.83129055515501
1579,2020-11-27,117.64132596685084
1580,2020-11-28,115.02241610738254
1581,2020-11-29,112.8858316221766
1582,2020-11-30,113.51409601634322
1583,2020-12-01,111.96137142857143
1584,2020-12-02,110.16487747957993
1585,2020-12-03,113.9903073286052
1586,2020-12-04,114.71778846153846
1587,2020-12-05,119.27582938388626
1588,2020-12-06,112.68959537572253
1589,2020-12-07,119.1089552238806
1590,2020-12-08,119.11371841155234
1591,2020-12-09,125.0717791411043
1592,2020-12-10,125.70952380952382
1593,2020-12-11,130.1
1594,2020-12-12,126.92559055118112
1595,2020-12-13,124.79322916666666
1596,2020-12-14,131.36607843137256
1597,2020-12-15,133.35009708737866
1598,2020-12-16,136.94618369987066
1599,2020-12-17,136.31220196353436
